ردیف,گرایش,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,---,مبانی امنیت اطلاعات,---,3,نظری,شبکه‌های کامپیوتری,---
2,---,مبانی رایانش ابری,https://codegeeks.ir/requirements/courses/cloud-computing,3,نظری,سیستم‌های عامل + شبکه‌های کامپیوتری,---
3,---,مدیریت پروژه فناوری اطلاعات,---,3,نظری,طبق مصوبه 980320 گروه,---
4,---,بازیابی اطلاعات,---,3,نظری,آمار و احتمال مهندسی + ساختمان داده‌ها و الگوریتم‌ها,---
5,نرم افزار، شبکه,مهندسی نرم افزار 2,---,3,نظری,مهندسی نرم افزار 1,---
5,هوش مصنوعی، شبکه,داده کاوی,https://codegeeks.ir/requirements/courses/data-mining,3,نظری,مبانی هوش محاسباتی,---
6,---,آزمایشگاه ریزپردازنده و زبان اسمبلی,https://codegeeks.ir/requirements/courses/laboratory,1,عملی,ریزپردازنده و زبان اسمبلی - طبق مصوبه 14000304 گروه,---
7,---,بسته آشنایی مبانی اسلامی,---,2,---,---,---
# نیمسال هفتم
# 18 واحد